corpus,method,n,n_empty,coverage_pct,leak_rate_pct,cer,cer_ci95_low,cer_ci95_high,wilcoxon_p_vs_best,cer_cased,wer,exact_pct,cer_relaxed,exact_relaxed_pct,chrf,chrf_pp,bleu,v_share,long_vowel_per_tok,aspiration_per_tok,gemination_per_tok
social_media,phonetic,4397,0,100.0,0.0,0.182,0.1781,0.1858,,0.2165,0.6063,4.162,0.1077,11.849,67.79,59.32,28.59,0.0,0.3837,0.1715,0.1618
social_media,nisansa_w,4397,0,100.0,0.0,0.1823,0.1784,0.1861,1.586e-03,0.1958,0.6065,4.162,0.1079,11.872,67.77,59.3,28.58,0.0,0.3837,0.1715,0.1618
social_media,aksharamukha,4397,0,100.0,0.0,0.191,0.1872,0.1947,2.239e-130,0.2254,0.6398,3.502,0.1077,11.804,63.66,55.38,26.26,0.0,0.3837,0.0299,0.17
social_media,nisansa_sirs_method,4397,0,100.0,0.0,0.1969,0.1929,0.2007,1.469e-180,0.2103,0.6469,3.184,0.1079,11.872,63.36,54.88,25.35,1.0,0.3837,0.1715,0.1618
social_media,uroman,4397,0,100.0,0.0,0.2278,0.2238,0.2317,<1e-300,0.2614,0.7464,1.592,0.1077,11.872,55.7,47.13,20.71,1.0,0.2966,0.0001,0.3639
swa_bhasha_words,phonetic,450587,0,100.0,0.0,0.1206,0.1202,0.121,,0.1206,0.668,33.202,0.0401,74.01,78.67,64.4,10.57,0.0,0.8106,0.5624,0.115
swa_bhasha_words,nisansa_w,450587,1470,99.6738,0.8156,0.1326,0.1322,0.1331,<1e-300,0.1332,0.6911,30.897,0.0426,73.795,76.12,62.11,10.18,0.0,0.8078,0.5615,0.109
swa_bhasha_words,aksharamukha,450587,0,100.0,0.0,0.1478,0.1474,0.1482,<1e-300,0.1478,0.761,23.903,0.041,73.522,69.6,56.08,0.79,0.0,0.8105,0.2276,0.1359
swa_bhasha_words,nisansa_sirs_method,450587,1470,99.6738,0.8156,0.1757,0.1753,0.1762,<1e-300,0.1762,0.7936,20.641,0.0426,73.795,65.55,52.31,7.74,1.0,0.8078,0.5615,0.109
swa_bhasha_words,uroman,450587,0,100.0,0.0,0.2278,0.2274,0.2282,<1e-300,0.2278,0.9032,9.683,0.0442,71.576,51.63,40.37,6.03,1.0,0.7969,0.0028,0.3676
augmented_sentences_sample,phonetic,300000,0,100.0,0.0013,0.1124,0.1121,0.1128,,0.1124,0.5344,3.426,0.037,17.007,79.63,68.34,15.44,0.0,0.5628,0.3831,0.0467
augmented_sentences_sample,aksharamukha,300000,0,100.0,0.0013,0.1392,0.1389,0.1396,<1e-300,0.1392,0.6251,2.819,0.0374,16.87,70.26,59.05,8.67,0.0,0.5628,0.1323,0.0561
augmented_sentences_sample,uroman,300000,0,100.0,0.0013,0.2103,0.21,0.2107,<1e-300,0.2103,0.781,1.737,0.0396,15.52,53.51,43.34,2.22,1.0,0.5569,0.0004,0.1989
